jogador,idade,nacionalidade,time,valor,posicao
D. Islamovic,24,Sweden,Östersunds FK,650K,ST
E. Ekpolo,23,Nigeria,BK Häcken,500K,RB
D. Wynne,23,New Zealand,Colorado Rapids,500K,CB
S. Surridge,19,England,Oldham Athletic,850K,ST
E. Huth,21,Germany,1. FC Kaiserslautern,750K,ST
E. Pereyra,19,Argentina,San Lorenzo de Almagro,875K,LB
R. Foster,32,Scotland,St. Johnstone FC,250K,RB
J. Donacien,24,St Lucia,Ipswich Town,500K,RB
X. Tomas,32,France,Red Star FC,260K,CB
D. Batty,20,England,Hull City,900K,RDM
R. Steer,36,Colombia,Once Caldas,160K,ST
Mateus Couteira,34,Brazil,Paraná,140K,CB
G. Diangana,20,England,West Ham United,1,RM
F. Aksoy,20,Turkey,Beşiktaş JK,675K,CB
M. Tootle,27,England,Notts County,375K,RB
D. Wein,24,Germany,TSV 1860 München,500K,RCM
M. Bravo,25,Chile,San Luis de Quillota,475K,LB
D. Stroh-Engel,32,Germany,Karlsruher SC,350K,ST
D. Orgill,28,Jamaica,Wolfsberger AC,475K,LS
N. Neidhart,23,Germany,VfL Sportfreunde Lotte,525K,LB
J. Ockford,26,United States,San Jose Earthquakes,450K,CB
B. Gschweidl,22,Austria,Wolfsberger AC,600K,ST
S. Yohou,26,Ivory Coast,Paris FC,450K,CB
E. Pantelakis,23,Greece,Panathinaikos FC,575K,CB
Marcel,25,Brazil,Portimonense SC,500K,CDM
L. Leahy,25,England,Walsall,450K,LB
D. Vržogić,28,Germany,SV Meppen,350K,LB
S. Coulibaly,23,France,Dijon FCO,550K,CB
A. Rodríguez,25,Colombia,Independiente Santa Fe,600K,ST
M. Khubrani,24,Saudi Arabia,Al Qadisiyah,500K,CB
C. Dagnall,32,England,Bury,350K,ST
Vasquão Junior,30,Brazil,Atlético Paranaense,325K,CB
F. Björkén,27,Sweden,IF Brommapojkarna,425K,RB
J. Williams,22,Wales,Rochdale,600K,CDM
H. Al Ghaddioui,27,Morocco, SSV Jahn Regensburg,475K,ST
S. Saunders,34,England,Wycombe Wanderers,220K,CM
A. Sarcevic,26,England,Plymouth Argyle,525K,RCM
P. Zieliński,27,Poland,Miedź Legnica,375K,RM
F. Alastra,20,Italy,Palermo,600K,GK
O. Richards,19,England,Reading,875K,LB
Y. Andia,25,Chile,Unión La Calera,550K,LCM
Wang Yun,35,China PR,Shanghai Greenland Shenhua FC,190K,CM
M. Sansores,27,Mexico,Monarcas Morelia,525K,RS
J. Martínez,24,Colombia,Envigado FC,450K,GK
T. De Smet,20,Belgium,KAA Gent,675K,CB
A. Obispo,19,Netherlands,PSV,875K,CB
J. Colman,19,Paraguay,Orlando City SC,775K,RM
A. Nef,36,Switzerland,FC Zürich,60K,CB
S. Lawless,27,Scotland,Livingston FC,375K,RWB
A. Seck,26,Senegal,Royal Antwerp FC,475K,CB
S. Saucedo,21,United States,Real Salt Lake,725K,LW
R. Marchizza,20,Italy,Crotone,900K,CB
M. Adams,21,England,Chicago Fire,675K,CDM
C. Orrantía,27,Mexico,Santos Laguna,425K,RB
B. Bellot,27,Germany,Brøndby IF,300K,GK
G. Zampano,24,Italy,Venezia FC,575K,RM
R. Poole,20,Wales,Manchester United,675K,CB
Y. Díaz,26,Colombia,Rionegro Águilas,475K,RM
T. Berni,35,Italy,Inter,110K,GK
F. Nouble,26,England,Colchester United,475K,ST
T. Gebauer,36,Austria,LASK Linz,60K,GK
F. Torgnascioli,27,Uruguay,CD Everton de Viña del Mar,375K,GK
A. Etemadi,31,Iran,De Graafschap,270K,GK
C. Reilly,24,Republic of Ireland,Gillingham,575K,CM
B. Rowe,29,United States,Vancouver Whitecaps FC,350K,GK
M. Vitzthum,26,Germany,SG Sonnenhof Großaspach,450K,LDM
O. Özdemir,23,Turkey,1. FC Kaiserslautern,525K,CB
Alberto Varo,25,Spain,CD Lugo,450K,GK
Claudio Mouria,26,Brazil,Santos,475K,CAM
P. Staikos,22,Greece,Panathinaikos FC,600K,CDM
N. Fazzi,23,Italy,Livorno,500K,LM
R. Cepeda,24,Chile,Club Deportes Temuco,625K,CM
E. Zaldívar,21,Mexico,Club Atlas,725K,CM
Zhu Jianrong,26,China PR,Shanghai Greenland Shenhua FC,550K,ST
M. Chacón,24,Netherlands,FC Emmen,575K,LCM
S. Londoño,23,Colombia,Envigado FC,550K,GK
S. Luna,30,Argentina,Belgrano de Córdoba,325K,RB
N. Mason,21,England,Doncaster Rovers,550K,RB
S. Skytte,21,Denmark,AC Horsens,775K,CM
K. Madu,22,Nigeria,SV Zulte-Waregem,525K,LB
G. Ruggiero,18,Italy,Palermo,850K,CDM
M. Legittimo,29,Italy,Cosenza,350K,LCB
F. Assmann,32,Argentina,Club Atlético Aldosivi,260K,GK
C. Mueller,21,United States,Orlando City SC,800K,RM
Willy,29,Spain,Extremadura UD,450K,ST
P. Owusu,21,Germany,DSC Arminia Bielefeld,675K,ST
L. Diaby Fadiga,17,France,OGC Nice,900K,ST
H. Hansen,23,Germany,FC Würzburger Kickers,500K,CB
R. Hayasaka,32,Japan,Hokkaido Consadole Sapporo,350K,LCM
E. Lomotey,20,Ghana,Villarreal CF,725K,CDM
J. Marimón,19,Colombia,Royal Excel Mouscron,650K,CDM
Jiang Tao,29,China PR,Beijing Sinobo Guoan FC,350K,RB
F. Bechtholdt,24,Argentina,Curicó Unido,475K,CDM
P. Salomon,30,Austria,SV Mattersburg,425K,LCM
A. Fukuta,26,Japan,Sagan Tosu,525K,RAM
A. Carleton,18,United States,Atlanta United,925K,LM
Martínez,25,Spain,Granada CF,500K,LCB
Pablo Vázquez,23,Spain,Granada CF,575K,CB
K. Michael,18,Nigeria,Perugia,925K,RCM
Rong Hao,31,China PR,Shanghai Greenland Shenhua FC,300K,LB
J. Szmatuła,37,Poland,Piast Gliwice,30K,GK
J. Ward,22,England,Peterborough United,675K,RM
M. Perdijić,36,Croatia,Zagłębie Sosnowiec,60K,GK
Z. Gordon,25,Scotland,Hamilton Academical FC,475K,RCB
J. Mendy,28,Senegal,Dundee FC,475K,ST
T. Nishimura,21,Japan,PFC CSKA Moscow,625K,CF
André Sousa,20,Portugal,Vitória de Setúbal,675K,LB
J. Amon,19,United States,FC Nordsjælland,975K,LW
A. Parmak,23,Turkey,Trabzonspor,625K,LM
C. Gustafsson,31,Sweden,IK Sirius,375K,RDM
J. Bowery,26,England,Crewe Alexandra,550K,RS
Zhao Honglue,28,China PR,Tianjin TEDA FC,350K,LB
J. Arvidsson,33,Sweden,IK Sirius,170K,LB
K. Abazaj,21,Albania,RSC Anderlecht,650K,RW
Cidinho,25,Brazil,AS Béziers,600K,CAM
Marcelo Freitas,24,Brazil,FC Energie Cottbus,575K,CM
B. Jopek,24,Germany,Hallescher FC,600K,CM
A. Masuyama,21,Japan,Vissel Kobe,600K,RW
F. Flecker,22,Austria,TSV Hartberg,675K,RM
M. Zimmer,25,Germany,FC Energie Cottbus,575K,CAM
K. Furuhashi,23,Japan,Vissel Kobe,600K,ST
M. Dembélé,21,France,AS Nancy Lorraine,675K,ST
L. Geertruida,17,Netherlands,Feyenoord,800K,CB
Julen López,22,Spain,SD Eibar,625K,CB
S. Svarnas,23,Greece,AEK Athens,575K,CB
K. Bryan,21,England,Sheffield United,775K,CB
Joaninho Chagas,30,Brazil,Sport Club do Recife,425K,CAM
P. Schmidt,19,Austria,FC Admira Wacker Mödling,725K,ST
N. Schiappacasse,19,Uruguay,CF Rayo Majadahonda,975K,LM
L. Ainsworth,30,England,Plymouth Argyle,425K,RM
M. Ellingsen,23,Norway,Molde FK,650K,CM
S. Mamba,24,Germany,FC Energie Cottbus,600K,RS
R. Marquez,26,United States,Philadelphia Union,450K,CB
I. Çipe,23,Turkey,Galatasaray SK,525K,GK
T. Knöll,20,Germany,1. FC Nürnberg,775K,ST
P. Prosenik,25,Austria,SV Mattersburg,575K,ST
E. Galekovic,37,Australia,Melbourne City FC,30K,GK
L. Schnellbacher,24,Germany,VfR Aalen,625K,ST
Sergio López,19,Spain,Real Madrid,875K,RB
J. Bond,25,England,West Bromwich Albion,425K,GK
Q. Braat,20,France,FC Nantes,600K,GK
C. Romero,20,Argentina,Genoa,900K,CB
Mairdel Sampaio,30,Brazil,América FC (Minas Gerais),425K,CAM
A. Absalem,21,Netherlands,FC Groningen,575K,LB
Lee Yun Pyo,33,Korea Republic,Incheon United FC,180K,LCB
H. Akpan,26,Nigeria,Bradford City,525K,CM
J. Faucher,26,France,Red Star FC,550K,ST
P. Wiegers,28,Germany,SG Dynamo Dresden,375K,GK
J. Cano,28,Colombia,Jaguares de Córdoba,475K,LM
J. Cortizo,22,Mexico,Querétaro,675K,LW
P. Breitkreuz,26,Germany,FC Würzburger Kickers,550K,ST
K. Rendón,25,Colombia,Itagüí Leones FC,600K,CM
M. Lüftner,24,Czech Republic,FC København,500K,CB
J. Mårtensson,29,Sweden,Örebro SK,425K,RCM
A. Bernede,19,France,Paris Saint-Germain,750K,CAM
R. Iio,27,Japan,V-Varen Nagasaki,475K,RM
A. Zamora,26,Mexico,Puebla FC,450K,CB
S. Rudol,23,Poland,Pogoń Szczecin,500K,CB
S. Tanabe,28,Japan,FC Tokyo,450K,LM
J. Clarke,23,England,Brentford,500K,RB
D. Hofbauer,27,Austria,SKN St. Pölten,475K,CM
M. Cebula,22,Poland,Korona Kielce,625K,CAM
K. Baccus,26,Australia,Melbourne City FC,400K,CDM
K. Świderski,21,Poland,Jagiellonia Białystok,750K,ST
Romera,30,Spain,UD Almería,325K,RB
G. Álvarez,26,Bolivia,Al Hazem,575K,ST
M. Meilinger,26,Austria,SCR Altach,475K,RM
M. Wieteska,21,Poland,Legia Warszawa,575K,CB
Allef,23,Brazil,Vitória de Setúbal,625K,ST
L. Gonnelli,25,Italy,Livorno,525K,CB
Y. Demoncy,22,France,US Orléans Loiret Football,575K,CDM
N. Knight-Percival,31,England,Bradford City,300K,LCB
R. Allen,28,United States,Orlando City SC,350K,RB
Bruno Silva,25,Brazil,Moreirense FC,475K,LB
D. Perić,23,Croatia,Dinamo Zagreb,500K,CB
G. Martínez,29,Chile,San Luis de Quillota,450K,ST
Cho Suk Jae,25,Korea Republic,Daegu FC,575K,ST
J. García,29,Colombia,La Equidad,350K,RCB
F. Hormazábal,22,Chile,CD O'Higgins,775K,RW
D. Perquis,34,Poland,GFC Ajaccio,140K,CB
S. Piesinger,26,Austria,SCR Altach,400K,CDM
F. Woodman,21,England,Newcastle United,825K,GK
T. Amang,20,Cameroon,Molde FK,825K,ST
H. Delbridge,26,Australia,Melbourne City FC,450K,LCB
M. Pedersen,28,Denmark,SønderjyskE,375K,RCB
C. Smith,22,Scotland,St. Mirren,600K,CAM
C. Nielsen,24,Denmark,Odense Boldklub,575K,CM
Z. Sanogo,21,Burkina Faso,TSV Hartberg,750K,CF
H. Weigelt,20,Germany,AZ Alkmaar,725K,CB
Kim Soo Beom,27,Korea Republic,Jeju United FC,375K,LB
A. Gilliead,22,England,Shrewsbury,725K,LM
J. Aigner,37,Austria,SCR Altach,160K,ST
P. Ceccaroni,22,Italy,Padova,525K,CB
O. Aydoğan,21,Germany,Beşiktaş JK,600K,CAM
Hong Jeong Un,23,Korea Republic,Daegu FC,575K,LCB
M. Soisalo,20,Finland,SV Zulte-Waregem,775K,RM
G. Loiacono,26,Italy,Foggia,400K,CB
J. Aguirre,21,Colombia,Itagüí Leones FC,575K,LCB
Tiago Marques,30,Brazil,Jeju United FC,425K,ST
M. Pietrowski,30,Poland,Piast Gliwice,325K,LB
J. Laursen,23,Denmark,Odense Boldklub,525K,LWB
A. Tanaka,30,Japan,Cerezo Osaka,425K,CAM
J. Goitia,23,Argentina,San Martín de San Juan,525K,RB
J. Thiaré,25,Senegal,Le Havre AC,600K,ST
A. Monsecour,22,Belgium,Sporting Lokeren,550K,CB
D. Niepsuj,22,Poland,Pogoń Szczecin,525K,RB
F. Henríquez,23,Argentina,Godoy Cruz,625K,CDM
Lucas França,22,Brazil,CD Nacional,550K,GK
F. Kastrati,26,Kosovo,Kristiansund BK,550K,ST
M. Janzer,26,Germany,Eintracht Braunschweig,525K,LM
B. Uaferro,26,Germany,SC Fortuna Köln,475K,RCB
M. Uhre,23,Denmark,Brøndby IF,650K,ST
A. Stølås,29,Norway,FK Haugesund,350K,LB
S. Mallan,22,Scotland,Hibernian,750K,LCM
S. Roa,22,Colombia,Patriotas Boyacá FC,600K,RB
Cho Sung Hwan,36,Korea Republic,Jeonbuk Hyundai Motors,60K,CB
M. Heinloth,26,Germany,Zagłębie Sosnowiec,450K,RB
K. Fisher,24,United States,Montreal Impact,475K,CB
A. Aremu,18,Nigeria,IK Start,850K,RCM
A. Fein,19,Germany, SSV Jahn Regensburg,950K,LDM
R. Bowman,26,England,Motherwell,550K,ST
N. Karger,25,Germany,TSV 1860 München,575K,LW
A. Cicâldău,20,Romania,,0,CM
D. Osei Yaw,19,France,Toulouse Football Club,750K,RW
M. Naderi,21,Iran,KV Kortrijk,600K,LB
K. Dobras,25,Austria,SCR Altach,525K,LM
I. Faraj,19,France,LOSC Lille,975K,RM
C. Mallace,28,Scotland,Los Angeles FC,375K,CDM
D. Serna,24,United States,Colorado Rapids,600K,CAM
C. Nöthe,30,Germany,DSC Arminia Bielefeld,425K,LM
J. Allansson,25,Sweden,Randers FC,550K,CM
Han Kook Young,28,Korea Republic,Gangwon FC,450K,CM
N. Tripichio,22,Argentina,Defensa y Justicia,625K,RB
A. Walkes,21,England,Portsmouth,575K,RB
A. Dozzell,19,England,Ipswich Town,950K,CM
Kim Dong Suk,31,Korea Republic,Incheon United FC,375K,CM
C. Masuda,33,Japan,Shimizu S-Pulse,180K,CDM
G. Kongshavn,27,Norway,Tromsø IL,350K,GK
S. Neville,29,Australia,Perth Glory,350K,RB
R. Raveloson,21,Madagascar,ESTAC Troyes,575K,CB
T. Kadewere,22,Zimbabwe,Le Havre AC,675K,ST
T. Dieng,26,France,Southend United,450K,CAM
O. Atasayar,23,Turkey,Bursaspor,575K,LB
C. Tilt,26,England,Blackpool,475K,LCB
Álex Centelles,18,Spain,Valencia CF,700K,LB
R. Jackson,27,England,Colchester United,375K,RB
V. Milke,23,Mexico,Querétaro,575K,CB
C. Rojas,32,Chile,CD Antofagasta,260K,CB
Steven Prieto,20,Spain,Real Oviedo,775K,ST
Ko Seul Ki,32,Korea Republic,Incheon United FC,260K,RCM
M. Campos,29,Chile,Audax Italiano,350K,LM
G. Rivas,22,Chile,San Luis de Quillota,650K,CM
Pep Biel,21,Spain,Real Zaragoza,650K,CM
D. Cornelius,20,Canada,,0,CB
F. Darwish,26,Saudi Arabia,Al Wehda,375K,RB
R. Arciero,25,Argentina,Club Atlético Banfield,500K,RB
A. Pinamonti,19,Italy,Frosinone,975K,ST
L. Luna,30,Ecuador,Independiente Medellín,325K,CDM
B. Evans,33,United States,Sporting Kansas City,180K,CB
J. O'Sullivan,24,Republic of Ireland,Blackpool,575K,RM
P. Schorr,23,Germany,VfR Aalen,500K,LM
Kim Shin,23,Korea Republic,Gyeongnam FC,625K,ST
B. Touré,23,Ivory Coast,Córdoba CF,600K,CM
R. Sweeney,21,Republic of Ireland,Mansfield Town,575K,LCB
E. Zambataro,19,Italy,Padova,600K,LB
N. Rasskazov,20,Russia,Spartak Moscow,675K,RB
F. Piovaccari,33,Italy,Córdoba CF,280K,ST
A. Lomovitskiy,20,Russia,Spartak Moscow,1,RM
Shin Kwang Hoon,31,Korea Republic,FC Seoul,300K,RB
M. Kuttin,24,Austria,FC Admira Wacker Mödling,400K,GK
K. Pallesen,28,Denmark,Aalborg BK,350K,RB
O. Álvarez,23,Colombia,Patriotas Boyacá FC,675K,ST
B. Straetman,20,Belgium,Sporting Lokeren,700K,LM
G. Middleton,18,Scotland,Rangers FC,925K,LW
J. Eskesen,19,Denmark,Odense Boldklub,750K,LCM
Guillem Jaime,19,Spain,FC Barcelona,975K,RW
R. Ranftl,26,Austria,LASK Linz,525K,RM
J. Grant,30,Jamaica,Plymouth Argyle,425K,LM
M. Yıldırım,31,Turkey,Yeni Malatyaspor,300K,LDM
M. Ingebrigtsen,21,Norway,Tromsø IL,700K,RS
N. Bertocchi,29,Argentina,Club Deportes Temuco,425K,CM
A. Camigliano,23,Italy,Cittadella,525K,CB
U. Saltnes,25,Norway,FK Bodø/Glimt,550K,LCM
I. Harkes,23,United States,DC United,625K,CM
D. Kelly,27,Jamaica,DC United,525K,ST
José González,22,Spain,Granada CF,675K,CM
C. Dikamona,28,Congo,Heart of Midlothian,425K,RCB
J. Maurer,29,United States,FC Dallas,300K,GK
A. Morgan,27,Canada,Toronto FC,375K,LB
C. Lustenberger,31,Switzerland,FC Luzern,300K,LB
M. Ngombo,23,Belgium,Ascoli,650K,RS
J. Ibarra,29,Mexico,Lobos BUAP,425K,CM
F. Affolter,27,Switzerland,San Jose Earthquakes,375K,CB
J. Chancellor,26,Venezuela,,0,RCB
L. Mai,18,Germany,FC Bayern München,850K,CB
P. Jerez,33,Chile,CD Antofagasta,170K,LB
A. Al Bishi,24,Saudi Arabia,Al Faisaly,600K,RM
D. Watts,21,Republic of Ireland,Shamrock Rovers,875K,RDM
S. Reyes,20,Mexico,Monarcas Morelia,1,LW
M. Vitale,20,Italy,SPAL,700K,CM
M. Seegert,24,Germany,SV Sandhausen,525K,CB
D. Lewington,34,England,Milton Keynes Dons,130K,LWB
Fran García,18,Spain,Real Madrid,825K,LB
G. Mebrahtu,27,Australia,Sparta Praha,475K,ST
A. Ponce,21,Venezuela,,0,ST
V. Screciu,18,Romania,KRC Genk,850K,CDM
Mika,21,Portugal,GD Chaves,725K,LW
D. Massey,30,Republic of Ireland,Dundalk,325K,LB
M. O'Hara,22,Scotland,Peterborough United,650K,CM
J. Augustinsson,22,Sweden,Djurgårdens IF,575K,LB
L. Pérez,29,Mexico,Club Necaxa,350K,CDM
Gerard Oliva,28,Spain,Cracovia,475K,ST
J. Hamilton,24,Scotland,Dundee FC,450K,GK
L. McGee,22,England,Portsmouth,550K,GK
T. Alfaro,25,Mexico,Seattle Sounders FC,500K,CB
M. Wagner,31,Germany,SV Meppen,400K,CAM
A. Awaji,28,Saudi Arabia,Al Ahli,450K,LM
M. Ćosić,24,Croatia,FK Haugesund,500K,CB
D. McNeil,18,England,Burnley,925K,LM
P. Charruau,24,France,Red Star FC,425K,GK
S. Sarr,22,Senegal,FC Lorient,625K,CM
T. Pearce,20,England,Leeds United,900K,LB
T. Oakley-Boothe,18,England,Tottenham Hotspur,925K,CM
S. Ichazo,26,Uruguay,Torino,325K,GK
D. Daniels,24,Montserrat,Blackpool,500K,RCB
A. Ariano,27,Panama,Patriotas Boyacá FC,450K,CB
B. Kallman,27,United States,Minnesota United FC,450K,LCB
D. Lovren,19,Croatia,Fortuna Düsseldorf,975K,RM
Li Wei,33,China PR,Shandong Luneng TaiShan FC,180K,CDM
H. Silva,26,Argentina,Defensa y Justicia,500K,CB
K. Coulibaly,25,France,Willem II,550K,LW
J. Deminguet,20,France,Stade Malherbe Caen,800K,CM
J. Mellis,27,England,Mansfield Town,475K,RCM
S. Demhasaj,22,Switzerland,FC Luzern,775K,ST
M. Di Piazza,30,Italy,Cosenza,425K,ST
B. Fernández,26,Colombia,Deportivo Pasto,550K,ST
S. Binakaj,29,Albania,SG Sonnenhof Großaspach,450K,RM
Zhou Haibin,32,China PR,Shandong Luneng TaiShan FC,260K,CDM
S. Leyton,25,Chile,CD Everton de Viña del Mar,600K,CM
C. Dagba,19,France,Paris Saint-Germain,875K,RB
P. Müller,23,Germany,SC Preußen Münster,600K,RM
I. Jukić,22,Croatia,Korona Kielce,625K,LM
K. Zohi,21,Ivory Coast,RC Strasbourg Alsace,825K,ST
S. Jombati,30,Portugal,Wycombe Wanderers,325K,RCB
J. Cox,24,Panama,América de Cali,575K,ST
S. Salinas,32,United States,San Jose Earthquakes,250K,LB
D. Parra,26,Colombia,Patriotas Boyacá FC,475K,CB
Leonardo Freijão,34,Brazil,Ceará Sporting Club,140K,CDM
D. Powell,27,England,Northampton Town,475K,LM
D. Potts,24,England,Luton Town,525K,LB
J. Vidović,29,Slovenia,SV Meppen,400K,RCB
O. Sowunmi,22,England,Yeovil Town,500K,RCB
J. Bertilsson,30,Sweden,Örebro SK,425K,RW
J. Bachmann,22,Germany,FC Würzburger Kickers,500K,RDM
P. Heerwagen,35,Germany,FC Ingolstadt 04,110K,GK
B. McNamee,26,Republic of Ireland,Cork City,550K,CAM
J. Aspropotamitis,22,Australia,Central Coast Mariners,575K,CB
M. Palčič,25,Slovenia,Wisła Kraków,450K,RB
M. Ristić,22,Serbia,Sparta Praha,600K,LB
N. Tyson,36,England,Wycombe Wanderers,150K,LW
S. Al Qumayzi,26,Saudi Arabia,Al Shabab,375K,RB
C. Agnelli,32,Italy,Foggia,350K,CM
Lee Sang Heon,20,Korea Republic,Jeonnam Dragons,675K,CF
B. Bronico,23,United States,Chicago Fire,625K,LDM
M. Okugawa,22,Japan,Holstein Kiel,675K,RM
T. Obadeyi,28,England,FC Sochaux-Montbéliard,450K,LM
A. Guira,30,Burkina Faso,Aarhus GF,425K,CDM
Liu Jian,33,China PR,Beijing Renhe FC,180K,CB
C. Wighton,20,Scotland,Heart of Midlothian,775K,ST
Y. Segawa,24,Japan,Kashiwa Reysol,625K,RS
K. Chinen,23,Japan,Kawasaki Frontale,575K,CF
I. Abass,19,Ghana,1. FSV Mainz 05,850K,LW
J. Stacey,22,England,Luton Town,625K,RB
M. Aebischer,21,Switzerland,BSC Young Boys,800K,CM
S. Rakowitz,28,Austria,FC Wacker Innsbruck,450K,RM
Diego Alende,20,Spain,RC Celta,650K,CB
S. Clare,21,England,Heart of Midlothian,775K,CAM
M. Exslager,27,Germany,SC Fortuna Köln,525K,ST
A. Noppert,24,Netherlands,Foggia,425K,GK
Hu Yanqiang,25,China PR,Beijing Sinobo Guoan FC,550K,CM
N. Gil,21,Colombia,Independiente Santa Fe,700K,LB
A. Wordsworth,29,England,AFC Wimbledon,425K,CM
Andújar,26,Spain,CF Rayo Majadahonda,475K,CB
P. Koch,27,Switzerland,FC St. Gallen,425K,RB
G. Puel,26,France,GFC Ajaccio,425K,RB
G. Francomb,26,England,Crawley Town,475K,RM
D. McMillan,29,Republic of Ireland,St. Johnstone FC,450K,ST
A. Flores,27,El Salvador,Portland Timbers,475K,CM
K. Anderson,23,England,Swindon Town,600K,RW
V. De Marco,25,Argentina,Lech Poznań,500K,CB
Z. Erkilinc,20,Netherlands,Heracles Almelo,725K,LW
Jiang Liang,28,China PR,Guizhou Hengfeng FC,350K,RB
U. Meras,22,Turkey,Bursaspor,600K,LB
E. Johansen,25,Norway,Sandefjord Fotball,425K,GK
O. Threlkeld,24,England,Waasland-Beveren,500K,RB
T. Anderson,24,England,Doncaster Rovers,500K,RCB
F. Moufi,22,Morocco,CD Tondela,575K,RB
R. Williams,19,England,Manchester United,875K,CB
Carlitos,33,Spain,CF Rayo Majadahonda,270K,CAM
E. Iñíguez,21,Argentina,Club Atlético Aldosivi,625K,RB
B. Hušidić,31,Bosnia Herzegovina,LA Galaxy,375K,CM
S. Longstaff,20,England,Newcastle United,975K,CM
C. Sammon,31,Republic of Ireland,Motherwell,400K,ST
M. Wolfram,21,Germany,FC Carl Zeiss Jena,800K,RM
M. Faško,23,Slovakia,Eintracht Braunschweig,525K,CDM
O. Fane,24,France,Oldham Athletic,525K,CDM
Xesc Regis,21,Spain,SD Eibar,700K,ST
Lu Lin,33,China PR,Guangzhou R&F; FC,270K,LM
F. Marković,26,Serbia,Racing Club de Lens,525K,RM
F. Rawson,21,England,Forest Green Rovers,525K,RCB
M. Dauda,20,Ghana,RSC Anderlecht,775K,CF
K. Ward,27,Republic of Ireland,Bohemian FC,475K,CAM
L. Hägg-Johansson,23,Sweden,Kalmar FF,425K,GK
M. Pinto,24,Argentina,Club Atlético Lanús,525K,LB
Song Si Woo,24,Korea Republic,Sangju Sangmu FC,575K,RM
M. Halsti,34,Finland,Esbjerg fB,140K,LCB
Viti,20,Spain,Real Oviedo,800K,RM
E. Jónsson,29,Iceland,SønderjyskE,350K,RCM
A. Deiola,22,Italy,Parma,675K,CM
Adrián Rocheira,34,Brazil,Atlético Paranaense,140K,CDM
J. Bourdouxhe,27,Belgium,FC Emmen,375K,LB
N. Cameron,26,England,Macclesfield Town,475K,CB
O. Mandanda,19,France,FC Girondins de Bordeaux,800K,GK
P. Madden,28,Republic of Ireland,Fleetwood Town,475K,ST
V. Jalasto,32,Finland,HJK Helsinki,250K,RB
C. Cuesta,19,Colombia,Atlético Nacional,875K,CB
T. Kubo,17,Japan,Yokohama F. Marinos,975K,CAM
B. Toma,19,Switzerland,FC Sion,950K,CDM
E. Doyle,30,Republic of Ireland,Bradford City,425K,ST
J. Nilsson,24,Sweden,IF Elfsborg,500K,LCB
B. Chardonnet,23,France,Stade Brestois 29,675K,CB
D. Konstantopoulos,39,Greece,Middlesbrough,30K,GK
W. Geubbels,16,France,AS Monaco,1,ST
L. Quezada,22,Dominican Republic,Córdoba CF,800K,LM
R. Sánchez,34,Colombia,Millonarios FC,180K,GK
F. Lanzillotta,25,Argentina,Argentinos Juniors,425K,GK
A. Moreno,22,Chile,Deportes Iquique,575K,RB
Vagnão Junior,26,Brazil,Ceará Sporting Club,500K,ST
C. Greger,21,Germany,SpVgg Unterhaching,525K,LCB
M. Salem,32,Saudi Arabia,Al Shabab,260K,LCB
K. Alphonse,25,Ivory Coast,CD Feirense,450K,CDM
J. Tosik,31,Poland,Zagłębie Lubin,300K,CDM
S. Wharton,20,England,Lincoln City,725K,CB
A. Sigurðsson,19,Iceland,PFC CSKA Moscow,975K,CF
J. Welzmüller,28,Germany,SpVgg Unterhaching,375K,CB
N. Ferraresi,19,Venezuela,,0,CB
O. Kiomourtzoglou,20,Germany,SpVgg Unterhaching,650K,CDM
P. Taylor,30,England,Doncaster Rovers,425K,CAM
P. Keita,26,Senegal,Waasland-Beveren,475K,CDM
M. Leitgeb,30,Austria,Wolfsberger AC,325K,CM
N. Tapia,27,Colombia,Boyacá Chicó FC,375K,LM
T. D'Orazio,28,Italy,Cosenza,350K,LM
I. Marconi,28,Italy,US Cremonese,400K,CB
L. Martínez,31,Mexico,Tiburones Rojos de Veracruz,375K,CM
A. Al Shammari,24,Saudi Arabia,Al Ittihad,525K,CB
T. James,22,Wales,Yeovil Town,525K,RB
B. Vécsei,24,Hungary,FC Lugano,600K,CM
J. Dehm,22,Germany,Holstein Kiel,600K,RB
M. Caufriez,21,Belgium,Waasland-Beveren,575K,CB
C. Rivera,22,Colombia,Deportivo Cali,600K,LDM
D. Gray,30,Scotland,Hibernian,325K,RB
Ricardo Rodrigues,23,Portugal,CD Aves,600K,ST
K. Shirai,24,Japan,Hokkaido Consadole Sapporo,600K,LM
J. Jønsson,25,Denmark,Atiker Konyaspor,500K,LDM
L. López,24,Honduras,Los Angeles FC,450K,GK
G. Prósperi,33,Argentina,San Martín de San Juan,170K,RB
F. Burmeister,28,Germany,Eintracht Braunschweig,375K,CB
K. Yeboah,24,Australia,SC Fortuna Köln,625K,LM
M. Wdowiak,21,Poland,Cracovia,675K,LM
F. Cristaldo,21,Argentina,San Martín de San Juan,550K,CDM
P. Karlsson Lagemyr,21,Sweden,IFK Göteborg,625K,RW
M. Dräger,22,Tunisia,SC Paderborn 07,625K,RB
M. Quiroga,28,Argentina,Curicó Unido,475K,ST
K. Rimane,27,France,Paris Saint-Germain,450K,CB
F. Hurtado,35,Chile,CD Antofagasta,110K,GK
J. Hromada,22,Slovakia,SK Slavia Praha,575K,CDM
R. Brown,22,England,Forest Green Rovers,600K,RM
Iuliano Alfaro,30,Brazil,Bahia,425K,ST
C. Burgess,26,England,Portsmouth,475K,CB
